ticker_acao,empresa,tipo,qtde,part
ABCB4,ABC BRASIL,PN N2,73.265.872,0.061
ABEV3,AMBEV S/A,ON,4.354.228.928,3.201
ALPA4,ALPARGATAS,PN N1,187.007.704,0.309
ALSO3,ALIANSCSONAE,ON NM,127.374.163,0.209
ALUP11,ALUPAR,UNT ED N2,150.960.603,0.211
AMAR3,LOJAS MARISA,ON NM,109.374.720,0.042
ANIM3,ANIMA,ON NM,72.891.620,0.099
ARZZ3,AREZZO CO,ON NM,44.066.233,0.113
AZUL4,AZUL,PN N2,317.471.474,0.301
B3SA3,B3,ON NM,2.046.021.644,4.909
BBAS3,BRASIL,ON NM,1.418.466.803,2.462
BBDC3,BRADESCO,ON EJ N1,1.253.093.907,1.322
BBDC4,BRADESCO,PN EJ N1,4.261.649.634,4.871
BBSE3,BBSEGURIDADE,ON NM,671.601.167,1.062
BEEF3,MINERVA,ON NM,259.260.688,0.205
BIDI11,BANCO INTER,UNT N2,133.321.962,0.227
BIDI4,BANCO INTER,PN N2,27.878.033,0.016
BKBR3,BK BRASIL,ON NM,224.816.907,0.131
BPAC11,BTGP BANCO,UNT N2,201.102.231,0.518
BPAN4,BANCO PAN,PN N1,315.644.002,0.097
BRAP4,BRADESPAR,PN N1,222.089.397,0.402
BRDT3,PETROBRAS BR,ON NM,728.125.000,0.891
BRFS3,BRF SA,ON NM,811.416.229,0.933
BRKM5,BRASKEM,PNA N1,264.632.416,0.349
BRML3,BR MALLS PAR,ON NM,843.313.591,0.493
BRPR3,BR PROPERT,ON ED NM,202.188.430,0.11
BRSR6,BANRISUL,PNB N1,202.531.540,0.153
BTOW3,B2W DIGITAL,ON NM,194.807.150,0.902
CAML3,CAMIL,ON NM,120.834.497,0.064
CCRO3,CCR SA,ON NM,1.115.695.556,0.85
CEAB3,CEA MODAS,ON NM,106.349.614,0.06
CESP6,CESP,PNB N1,182.017.689,0.307
CIEL3,CIELO,ON NM,1.118.386.806,0.275
CMIG3,CEMIG,ON N1,239.077.295,0.139
CMIG4,CEMIG,PN N1,966.005.862,0.558
CNTO3,CENTAURO,ON NM,56.408.109,0.111
COGN3,COGNA ON,ON NM,1.829.322.117,0.597
CPFE3,CPFL ENERGIA,ON NM,170.209.781,0.313
CPLE3,COPEL,ON N1,60.002.482,0.197
CPLE6,COPEL,PNB N1,128.297.147,0.44
CRFB3,CARREFOUR BR,ON NM,384.888.219,0.482
CSAN3,COSAN,ON NM,153.417.832,0.571
CSMG3,COPASA,ON NM,62.969.736,0.186
CSNA3,SID NACIONAL,ON,642.387.288,0.331
CVCB3,CVC BRASIL,ON NM,145.617.442,0.118
CYRE3,CYRELA REALT,ON NM,281.154.098,0.261
DIRR3,DIRECIONAL,ON NM,81.507.613,0.043
DMMO3,DOMMO,ON,269.968.506,0.023
DTEX3,DURATEX,ON NM,273.622.865,0.165
ECOR3,ECORODOVIAS,ON NM,171.079.276,0.109
EGIE3,ENGIE BRASIL,ON NM,254.813.401,0.62
ELET3,ELETROBRAS,ON N1,358.028.908,0.513
ELET6,ELETROBRAS,PNB N1,240.022.548,0.395
EMBR3,EMBRAER,ON NM,736.171.905,0.355
ENAT3,ENAUTA PART,ON NM,75.630.071,0.041
ENBR3,ENERGIAS BR,ON NM,295.402.225,0.313
ENEV3,ENEVA,ON NM,315.006.451,0.695
ENGI11,ENERGISA,UNT N2,250.709.436,0.659
EQTL3,EQUATORIAL,ON NM,1.010.186.085,1.137
EVEN3,EVEN,ON ED NM,205.280.287,0.08
EZTC3,EZTEC,ON ED NM,95.629.772,0.175
FLRY3,FLEURY,ON NM,305.126.422,0.414
GFSA3,GAFISA,ON NM,67.798.040,0.016
GGBR4,GERDAU,PN N1,1.031.246.473,0.739
GNDI3,INTERMEDICA,ON NM,458.380.483,1.533
GOAU4,GERDAU MET,PN N1,662.644.908,0.211
GOLL4,GOL,PN N2,134.613.917,0.094
GRND3,GRENDENE,ON NM,271.290.545,0.121
GUAR3,GUARARAPES,ON,86.112.560,0.066
HAPV3,HAPVIDA,ON ED NM,217.060.254,0.694
HBOR3,HELBOR,ON NM,326.312.863,0.037
HGTX3,CIA HERING,ON NM,126.302.831,0.113
